Spanish,English,Italian
lugar,place,luogo
madrid,Madrid,Madrid
nacional,national,nazionale
trabajo,worked,lavorato
otras,others,altri
mejor,better,meglio
nuevo,new,nuovo
decir,say,dire
algunos,Some,Alcuni
entonces,then,poi
todas,all,tutti
días,days,giorni
debe,should,dovrebbe
política,politics,politica
cómo,What,Che cosa
casi,almost,quasi
toda,all,tutti
tal,such,come
luego,later,dopo
pasado,past,passato
primer,first,primo
medio,medium,medio
va,goes,si reca
estas,are,sono
sea,be,essere
tenía,I had,avevo
nunca,never,mai
poder,can,potere
aquí,here,qui
ver,watch,guarda
veces,times,volte
embargo,embargo,embargo
partido,match,incontro
personas,people,la gente
grupo,group,gruppo
cuenta,bill,conto
pueden,may,Maggio
tienen,have,avere
misma,same,stesso
nueva,new,nuovo
cual,which,quale
fueron,were,erano
mujer,women,donne
frente,forehead,fronte
josé,Joseph,Joseph
tras,after,dopo
cosas,stuff,roba
fin,End,Fine
ciudad,town,cittadina
he,He,Lui
social,Social,Sociale
manera,way,modo
tener,have,avere
sistema,system,sistema
será,will be,sarà
historia,history,storia
muchos,Many,Molti
juan,John,John
tipo,type,genere
cuatro,four,quattro
dentro,within,entro
nuestro,our,nostro
punto,point,punto
dice,He says,Lui dice
ello,it,esso
cualquier,any,qualunque
noche,night,notte
aún,still,ancora
agua,Water,Acqua
parece,It seems,Sembra
haber,to have,avere
situación,situation,situazione
fuera,outside,fuori
bajo,under,sotto
grandes,big,grande
nuestra,our,nostro
ejemplo,example,esempio
acuerdo,agreement,accordo
habían,They were,Li avevamo
usted,you,voi
estados,state,stato
hizo,made,fatto
nadie,nobody,nessuno
países,countries,Paesi
horas,hours,ore
posible,possible,possibile
tarde,late,tardi
ley,law,legge
importante,important,importante
guerra,war,la guerra
desarrollo,developing,sviluppando
proceso,process,processi
realidad,reality,realtà
sentido,sense,senso
lado,side,lato
mí,my,mio
tu,you,voi
cambio,change,modificare
allí,over there,laggiù
mano,hand,mano
eran,they were,Li avevamo
estar,be,essere
san,saint,santo
número,number,numero
sociedad,society,società
unas,nail,chiodo
centro,hub,centro
padre,dad,papà
gente,people,la gente
final,final,finale
relación,relationship,relazione
cuerpo,Body,Corpo
obra,construction site,sito di costruzione
incluso,even,anche
través,through,attraverso
último,latest,ultimo
madre,mother,madre
mis,my,mio
modo,mode,modalità
problemas,problems,i problemi
cinco,five,cinque
carlos,Charles,Charles
hombres,mens,Uomo
información,information,informazione
ojos,eyes,occhi
muerte,death,Morte
nombre,Name,Nome
algunas,some,alcuni
público,public,pubblico
mujeres,women,donne
siglo,century,secolo
todavía,yet,ancora
meses,months,mesi
mañana,morning,mattina
esos,those,quelli
nosotros,us,noi
hora,hour,ora
muchas,many,molti
pueblo,town,cittadina
alguna,some,alcuni
dar,give,dare
problema,issue,problema
don,Don,Assistente
da,gives,dà
tú,your,il tuo
derecho,right,Giusto
verdad,TRUE,VERO
maría,Mary,Maria
unidos,United,Unito
podría,might,potrebbe
sería,would,voluto
junto,together,insieme
cabeza,head,testa
aquel,that,quello
luis,Lewis,Lewis
cuanto,how much,quanto
tierra,Earth,Terra
equipo,team,squadra
segundo,second,secondo
director,director,direttore
dicho,saying,detto
cierto,certain,certo
casos,cases,casi
manos,hands,mani
nivel,level,livello
podía,could,potevo
familia,family,famiglia
largo,long,lungo
partir,leave,partire
falta,lack,la mancanza
llegar,to get,ottenere
propio,own,possedere
ministro,Minister,Ministro
cosa,stuff,roba
primero,first,primo
seguridad,security,sicurezza
hemos,we have,noi abbiamo
mal,wrong,sbagliato
trata,treats,Spettacoli
algún,some,alcuni
tuvo,He had,Lui aveva
respecto,regard,considerare
semana,week,settimana
varios,several,parecchi
real,real,vero
sé,HE,LUI
voz,voice,voce
paso,He passed,Passò
señor,mister,signore
mil,one thousand,mille
quienes,who is,chi è
proyecto,Project,Progetto
mercado,market,mercato
mayoría,most,maggior parte
luz,light,leggero
claro,Clear,Chiaro
iba,I was going,stavo andando
éste,East,Est
pesetas,pesetas,Pesetas
orden,order,ordine
español,Spanish,spagnolo
buena,good,Buono
quiere,wants,vuole
aquella,that,quello
programa,Program,Programma
palabras,words,parole
internacional,international,internazionale
van,go,andare
esas,those,quelli
segunda,second,secondo
empresa,company,azienda
puesto,Market Stall,Bancarella
ahí,there,là
propia,own,possedere
m,m,m
libro,book,prenotare
igual,same,stesso
político,political,politico
persona,person,persona
últimos,last,Ultimo
ellas,they,essi
total,total,totale
creo,believe,ritenere
tengo,I've got,Ho avuto
dios,God,Dio
c,c,c
española,Spanish,spagnolo
condiciones,conditions,condizioni
méxico,Mexico,Messico
fuerza,force,forza
solo,only,solo
único,unique,unico
acción,action,azione
amor,love,amore
policía,police,Polizia Stradale
puerta,gate,cancello
pesar,weigh,pesare
zona,zone,zona
sabe,knows,conosce
calle,street,strada
interior,inside,dentro
tampoco,either,o
música,music,musica
ningún,none,nessuno
vista,sight,vista
campo,field,campo
buen,good,Buono
hubiera,had,avevo
saber,know,sapere
obras,plays,spettacoli teatrali
razón,reason,Motivo
ex,ex,ex
niños,children,bambini
presencia,presence,presenza
tema,issue,problema
dinero,money,i soldi
comisión,commission,commissione
antonio,Antonio,Antonio
servicio,service,servizio
hijo,son,figlio
última,last,Ultimo
ciento,hundred,centinaio
estoy,am,sono
hablar,speak,parlare
dio,it gave,ha dato
minutos,minutes,minuti
producción,production,produzione
camino,road,strada
seis,six,sei
quién,who,chi
fondo,bottom,parte inferiore
dirección,address,indirizzo
papel,paper,carta
demás,the rest,il riposo
barcelona,Barcelona,Barcellona
idea,idea,idea
especial,special,speciale
diferentes,different,diverso
dado,given,dato
base,base,base
capital,capital,capitale
ambos,both of them,entrambi
europa,Europe,Europa
libertad,Liberty,Libertà
relaciones,relations,relazioni
espacio,space,spazio
medios,media,media
ir,go,andare
actual,current,attuale
población,population,popolazione
empresas,Business,Affare
estudio,study,studia
salud,Health,Salute
servicios,services,Servizi
haya,is,è
principio,beginning,inizio
siendo,being,essendo
cultura,culture,cultura
anterior,former,ex
alto,high,alto
media,half,metà
mediante,through,attraverso
primeros,first,primo
arte,art,arte
paz,peace,pace
sector,sector,settore
imagen,picture,immagine
medida,extent,estensione
deben,They must,Essi devono
datos,data,dati
consejo,tip,mancia
personal,staff,personale
interés,interest,interesse
julio,July,Luglio
grupos,groups,gruppi
miembros,members,membri
ninguna,none,nessuno
existe,exists,esiste
cara,face,viso
edad,age,età
etc,etc,eccetera
movimiento,motion,movimento
visto,viewed,visto
llegó,I arrive,io arrivo
puntos,points,punti
actividad,activity,attività
bueno,well,bene
uso,use,utilizzo
niño,kid,ragazzo
difícil,hard,difficile
joven,young,giovane
futuro,future,futuro
aquellos,those,quelli
mes,month,mese
pronto,early,presto
soy,am,sono
hacía,toward,verso
nuevos,new,nuovo
nuestros,our,nostro
estaban,were,erano
posibilidad,possibility,possibilità
sigue,go on,continua
cerca,close,chiudere
resultados,results,Risultati
educación,education,formazione scolastica
atención,attention,Attenzione
gonzález,González,González
capacidad,ability,capacità
efecto,effect,effetto
necesario,necessary,necessario
valor,worth,di valore
aire,air,aria
investigación,research,ricerca
siguiente,Next,Prossimo
figura,figure,figura
central,central,centrale
comunidad,community,Comunità
necesidad,need,bisogno
serie,Serie,Serie
organización,organization,organizzazione
nuevas,new,nuovo
calidad,quality,qualità
economía,economy,economia
carácter,character,carattere
jefe,chief,capo
estamos,we're,erano
prensa,press,stampa
control,control,controllo
sociales,social,sociale
universidad,college,Università
militar,military man,militare
cabo,cape,Cape
diez,ten,dieci
fuerzas,forces,forze
congreso,congress,congresso
ésta,is,è
hijos,children,bambini
justicia,Justice,giustizia
mundial,world,mondo
dólares,Dollars,Dollari
juego,match,incontro
económica,economic,economico
políticos,politicians,politici
duda,doubt,dubbio
recursos,means,significa
pública,public,pubblico
crisis,crisis,crisi
próximo,next,prossimo
tenemos,we have,noi abbiamo
decisión,decision,decisione
varias,several,parecchi
popular,popular,popolare
tenido,Dyed,Tinto
apenas,barely,appena
época,epoch,epoca
banco,bank,banca
presente,Present,Presente
menor,minor,minore
quiero,want,volere
pasar,happen,accadere
resultado,result,risultato
televisión,TV,tv
encuentra,finds,scoperte
gracias,Thank you,Grazie
ministerio,ministry,ministero
conjunto,set,impostare
defensa,defending,difensore
alguien,somebody,qualcuno
queda,is left over,è rimasto
hacen,make,fare
pasa,happens,accade
resto,rest,riposo
causa,cause,causa
seguir,follow up,seguito
allá,there,là
palabra,word,parola
voy,I go,io vado
cuya,whose,"il cui, di chi"
vamos,come on,Avanti
mar,sea,mare
estudios,studies,studi
derechos,Rights,Diritti
importancia,importance,importanza
cuales,which,quale
contrario,contrary,contrario
manuel,Manuel,Manuel
garcía,Garcia,Garcia
fuerte,strong,forte
sol,sun,sole
jóvenes,youths,giovani
apoyo,support for,supporto per
habría,there would be,ci sarebbe
civil,civil,civile
miguel,Michael,Michael
pedro,Peter,Peter
partidos,matches,corrispondenze
libre,free,libero
fuentes,sources,fonti
administración,management,gestione
común,common,comune
dejar,let,permettere
cine,cinema,cinema
salir,go out,esci
comunicación,communication,comunicazione
b,b,b
experiencia,experience,Esperienza
demasiado,too,pure
plan,plan,Piano
respuesta,reply,rispondere
energía,Energy,Energia
izquierda,left,sinistra
función,function,funzione
principal,principal,principale
superior,higher,più alto
naturaleza,nature,natura
podemos,can,potere
unión,Union,Unione
especialmente,especially,specialmente
rey,king,re
domingo,Sunday,Domenica
favor,favor,favore
cantidad,amount,Quantità
elecciones,elections,elezioni
clase,class,classe
productos,products,prodotti
españoles,Spanish people,persone spagnole
conocer,know,sapere
teatro,theater,Teatro
importantes,important,importante
evitar,avoid,evitare
color,Colour,Colore
actividades,activities,attività
mesa,desk,scrivania
p,p,p
decía,He said,Egli ha detto
cuyo,whose,"il cui, di chi"
debido,due,dovuto
alta,high,alto
francisco,Francisco,Francisco
secretario,secretary,segretario
objeto,object,oggetto
quizá,Maybe,Forse
posición,position,posizione
parecía,looked like,sembrava
natural,natural,naturale
elementos,items,Oggetti
hubo,there was,c'era
objetivo,aim,scopo
formas,shapes,forme
única,only,solo
pueda,I can,io posso
origen,source,fonte
blanco,white,bianca
mismos,same,stesso
lleva,carries,Carries
económico,economic,economico
opinión,opinion,opinione
ayuda,help,aiuto
oficial,official,ufficiale
silencio,silence,silenzio
buenos,good ones,quelli buoni
pensar,think,pensare
república,republic,repubblica
dónde,where,dove
sangre,blood,sangue
encuentro,meeting,riunione
siquiera,even,anche
autor,Author,Autore
reunión,meeting,riunione
haciendo,doing,facendo
suelo,I usually,io di solito
muestra,sample,campione
viejo,old,vecchio
encima,on,su
resulta,result,risultato
tomar,drink,bere
bastante,pretty,bello
siete,seven,Sette
lucha,struggle,lotta
pudo,could,potevo
amigos,friends,gli amici
línea,line,linea
sur,south,Sud
pocos,few,pochi
medidas,measures,le misure
norte,north,nord
partes,Parties,Parti
iglesia,church,Chiesa
tratamiento,treatment,trattamento
existencia,existence,esistenza
cargo,post,inviare
grande,great,grande
américa,America,America
boca,mouth,bocca
plaza,square,quadrato
pie,foot,piede
trabajadores,workers,lavoratori
poner,put,mettere
existen,exist,esistere
viene,comes,arriva
permite,It allows,Permette
análisis,analysis,analisi
argentina,Argentina,Argentina
acto,act,atto
hechos,facts,fatti
tiempos,time,tempo
políticas,policies,politiche
radio,radio,Radio
puedo,may l,può l
crecimiento,growth,crescita
francia,France,Francia
compañía,company,azienda
amigo,friend,amico
autoridades,authorities,autorità
realizar,realize,rendersi conto
acciones,Actions,Azioni
padres,parents,genitori
diario,daily,quotidiano
ve,go,andare
derecha,right,Giusto
ambiente,ambient,ambientale
i,Yo,Yo
habrá,there will be,ci sarà
precisamente,precisely,precisamente
enfermedad,illness,malattia
especie,species,specie
ejército,army,esercito
santa,Holy,Santo
cambios,changes,i cambiamenti
río,River,Fiume
sabía,knew,conosceva
seguro,sure,Sicuro
espera,wait,aspettare
momentos,Moments,Momenti
viaje,trip,viaggio
quería,wanted,ricercato
ocho,eight,otto
vivir,to live,vivere
región,region,regione
formación,training,formazione
escuela,school,scuola
cuarto,bedroom,Camera da letto
valores,values,i valori
quedó,It was,Era
participación,stake,palo
éxito,success,successo
baja,short,breve
artículo,Article,Articolo
principales,main,principale
fernando,Fernando,Fernando
metros,meters,metri
marcha,March,Marzo
régimen,regime,regime
consecuencia,consequence,conseguenza
conocimiento,knowledge,conoscenza
corazón,heart,cuore
campaña,campaign,campagna
estructura,structure,struttura
efectos,effects,effetti
finalmente,Finally,Finalmente
modelo,model,modello
carta,letter,lettera
construcción,building,costruzione
médico,doctor,medico
miedo,fear,paura
mayores,greater,maggiore
entrada,entry,iscrizione
humanos,humans,umani
sean,Sean,Sean
actitud,attitude,atteggiamento
deja,leaves,fogliame
dejó,let,permettere
d,d,d
llevar,carry,trasportare
negro,black,Nero
texto,text,testo
mitad,half,metà
estuvo,he was,è stato
alrededor,around,in giro
acerca,about,di
peso,weight,peso
humano,human,umano
pequeño,little,poco
fecha,date,Data
serán,will be,sarà
doctor,doctor,medico
ideas,Ideas,Idee
vino,wine,vino
materia,matter,questione
llega,arrives,arriva
carrera,race,corsa
cierta,true,VERO
sola,alone,da solo
psoe,PSOE,Psoe
lejos,far,lontano
juez,judge,giudice
características,characteristics,caratteristiche
riesgo,risk,rischio
fácil,easy,facile
diferencia,difference,differenza
cultural,cultural,culturale
libros,books,libri
práctica,practice,la pratica
mayo,May,Maggio
nuestras,ours,nostro
programas,programs,programmi
memoria,memory,memoria
llegado,arrived,arrivato
plazo,term,termine
expresión,expression,espressione
diciembre,December,Dicembre
mantener,keep,conservare
enero,January,Gennaio
volver,return,Restituzione
cuadro,chart,grafico
producto,product,Prodotto
produce,produces,produce
europea,European,europeo
conciencia,conscience,coscienza
tenían,They had,Avevano
atrás,behind,dietro a
felipe,Felipe,Felipe
creación,creation,creazione
chile,Chile,Chile
precio,price,prezzo
película,movie,film
puerto,port,porta
fuego,fire,fuoco
cuestión,question,domanda
pasó,He passed,Passò
costa,coast,costa
supuesto,supposed,ipotetico
local,local,Locale
habla,speaks,parla
aspectos,aspects,aspetti
cuba,Cuba,Cuba
sala,living room,salotto
cámara,camera,telecamera
vuelta,return,Restituzione
vía,via,attraverso
mirada,look,Guarda
mejores,top,superiore
informe,report,rapporto
unidad,Unit,Unità
distintos,different,diverso
suerte,luck,fortuna
tales,such,come
mira,look,Guarda
llamado,called,chiamata
técnica,technique,tecnica
título,title,titolo
s,s,S
principios,beginning,inizio
octubre,October,ottobre
volvió,went back,tornò indietro
período,period,periodo
g,g,g
encontrar,meet,incontrare
democracia,democracy,democrazia
aumento,increase,aumento
fútbol,football,calcio
prueba,Test,Test
consumo,consumption,consumo
pese,I weighed,Ho pesato
ocasiones,occasions,occasioni
exterior,Exterior,Esterno
solución,solution,soluzione
u,or,o
hija,daughter,figlia
sueño,sleep,dormire
parís,Paris,Parigi
capaz,capable,capace
ocasión,chance,opportunità
industria,industry,industria
adelante,forward,inoltrare
salida,exit,Uscita
ciencia,science,scienza
asunto,business,Attività commerciale
asociación,association,associazione
puso,put,mettere
intereses,interests,interessi
oro,Prayed,Pregato
podrá,can,potere
pregunta,Question,Domanda
oposición,opposition,opposizione
entrar,get in,Entra
señora,Ms,SM
señaló,he pointed,lui ha indicato
santiago,Santiago,Santiago
dolor,pain,dolore
zonas,zones,zone
comercio,Commerce,Commercio
operación,operation,operazione
tribunal,court,Tribunale
instituciones,institutions,istituzioni
temas,topics,temi
militares,military,militare
junio,june,giugno
marco,framework,struttura
sectores,sectors,settori
hacerlo,do it,fallo
aspecto,aspect,aspetto
razones,reasons,motivi
contenido,contents,Contenuti
juicio,judgment,giudizio
electoral,electoral,elettorale
considera,considers,considera
tendrá,will have,avrà
mucha,a lot,Un sacco
voluntad,Will,Volere
dicen,They say,Dicono
recuerdo,I remember,Io ricordo
socialista,socialist,socialista
área,area,la zona
aparece,appears,appare
vio,he saw,lui vide
cama,bed,letto
aun,still,ancora
presenta,presents,regali
pp,pp,pp
revolución,revolution,rivoluzione
busca,search,ricerca
abril,april,aprile
rodríguez,Rodríguez,Rodríguez
fiscal,fiscal,fiscale
lópez,López,López
victoria,victory,vittoria
violencia,violence,violenza
primeras,first,primo
pequeña,little,poco
armas,weapons,Armi
debía,should,dovrebbe
ii,II,Ii
esfuerzo,effort,sforzo
humana,human,umano
posibilidades,possibilities,possibilità
centros,centers,centri
profesional,professional,professionale
asimismo,in addition,Inoltre
grado,grade,grado
has,you have,hai
toma,taking,prendendo
distintas,different,diverso
material,material,Materiale
carne,meat,la carne
llama,call,chiamata
particular,particular,particolare
jorge,George,Giorgio
trabajar,to work,lavorare
propuesta,proposal,proposta
muerto,dead,morto
precios,prices,prezzi
reforma,reform,riforma
hermano,brother,fratello
corte,court,Tribunale
comenzó,started,cominciato
etapa,stage,palcoscenico
obstante,However,Tuttavia
pone,places,posti
diversos,diverse,Diversi
visita,visit,visita
concepto,concept,concetto
pacientes,patients,pazienti
semanas,weeks,settimane
tipos,guys,ragazzi
solamente,only,solo
deseo,desire,desiderio
sistemas,systems,sistemi
encuentran,find,scoprire
siguientes,following,a seguire
martín,Martin,Martin
suficiente,enough,abbastanza
marzo,march,marzo
propios,own,possedere
jamás,Never,Mai
dan,give,dare
club,club,club
instituto,Institute,Istituto
constitución,Constitution,Costituzione
curso,course,corso
lenguaje,language,linguaggio
estilo,style,stile
rosa,pink,rosa
imposible,impossible,impossibile
pablo,Paul,Paolo
buscar,fetch,andare a prendere
peor,worse,peggio
piel,fur,pelliccia
arriba,above,sopra
generales,General,Generale
septiembre,september,settembre
blanca,white,bianca
r,r,r
aquellas,those,quelli
teoría,theory,teoria
animales,animals,animali
hicieron,they made,loro fecero
larga,long,lungo
perdido,lost,perso
imágenes,images,immagini
paciente,patient,paziente
conseguir,get,ottenere
máximo,maximum,massimo
noviembre,november,novembre
j,J,J
líder,Leader,Capo
hospital,hospital,Ospedale
diversas,diverse,Diversi
rafael,Rafael,Rafael
vuelve,returns,ritorna
destino,destination,destinazione
torno,turnstile,tornello
proyectos,Projects,Progetti
flores,flowers,fiori
niveles,levels,livelli
afirmó,he claimed,ha affermato
explicó,explained,spiegato
n,n,n
somos,we are,siamo
términos,terms,termini
premio,reward,ricompensa
tercera,third,Terzo
